title_i,title_j,cosine_similarity
Multiplication in curvature processing,More than a simple curve: Evidence for mechanisms which are selective for curves containing inflections,0.778602
Multiplication in curvature processing,Motion direction and temporal frequency tuning of texture-surround capture of contour-shape,0.703307
Multiplication in curvature processing,"Texture dominates saliency in suprathreshold combinations of texture, colour and luminance.",0.484288
Multiplication in curvature processing,Spatiochromatic statistics of natural scenes: First- and second-order information and their correlational structure,0.43701
Multiplication in curvature processing,The common perceptual metric for human discrimination of number and density,0.53336
Multiplication in curvature processing,Spatial integration of orientation-defined texture,0.599247
Multiplication in curvature processing,Effect of the number of grey levels on the detectability of a simple line signal in visual noise,0.442234
Multiplication in curvature processing,An Orientation Anisotropy in Induced Brightness,0.543549
Multiplication in curvature processing,On the mechanisms for contour-shape after-effects,0.771404
Multiplication in curvature processing,"Effect of Pixel Height, Display Height, and Vertical Resolution on the Detection of a Simple Vertical Line Signal in Visual Noise",0.360612
Multiplication in curvature processing,The Binocular Summation of Chromatic Contrast,0.501485
Multiplication in curvature processing,Luminance-contrast properties of contour-shape processing revealed through adaptation,0.749113
Multiplication in curvature processing,Multiplication of 1st-stage inputs to curvature detectors,0.81993
Multiplication in curvature processing,Orientation- and frequency-modulated textures at low depths of modulation are processed by off-orientation and off-frequency texture mechanisms,0.522379
Multiplication in curvature processing,Ecological validity determines the impact of second-order information on perceptual performance,0.548646
Multiplication in curvature processing,Dichoptic difference thresholds for the properties of chromatic stimuli,0.456564
Multiplication in curvature processing,How sensitive are we to distortions in natural scenes ?,0.566593
Multiplication in curvature processing,Perception of global textures based on joint-orientation statistics,0.64159
Multiplication in curvature processing,Orientation tuned curvature detectors revealed by the shape-amplitude after-effect,0.81929
Multiplication in curvature processing,The regularity after-effect: first or second-order?,0.577247
Multiplication in curvature processing,Why is the tilt after-effect selective to local but not global luminance-contrast polarity?,0.586047
Multiplication in curvature processing,Painted faces: misperceiving shading as pigmentation,0.44908
Multiplication in curvature processing,Adaptation aftereffect from faces using the bubbles technique,0.522628
Multiplication in curvature processing,An after-effect of perceived length,0.657628
Multiplication in curvature processing,Perceptual averaging of dichoptic mixtures of colour contrast promoted by task-irrelevant luminance contrast,0.421513
Multiplication in curvature processing,Why do certain spatial after-effects increase with eccentricity?,0.75341
Multiplication in curvature processing,Contextual disambiguation of rotating Necker cubes,0.439847
Multiplication in curvature processing,Dichoptic and binocular detection of hue and saturation differences: the effect of luminance contrast,0.330581
Multiplication in curvature processing,The role of reflectance and shading in face recognition,0.260173
Multiplication in curvature processing,Spatial properties of curvature encoding revealed by the shape-frequency and shape-amplitude after-effects,0.795515
Multiplication in curvature processing,Color properties of binocular color fusion and rivalry,0.406487
Multiplication in curvature processing,Cardinal colour contributions to the colour-shading effect,0.462467
Multiplication in curvature processing,Is color patchy?,0.277793
Multiplication in curvature processing,Dichoptic difference thresholds for familiar and unfamiliar transformations of real scenes,0.516694
Multiplication in curvature processing,Sensitivity to color and luminance transformations in real versus phase-scrambled natural scenes,0.488284
Multiplication in curvature processing,Equivalent-noise analysis of texture orientation processing and the line-element model,0.636026
Multiplication in curvature processing,Colour contrast can facilitate perceived 3D shape-from-shading,0.429836
Multiplication in curvature processing,Edge-based versus region-based texture perception: does the task matter?,0.523152
Multiplication in curvature processing,The role of local position in the detection of contour curvature,0.753194
Multiplication in curvature processing,After-effect of perceived regularity,0.516225
Global shape processing: Which parts form the whole?,Contour inflections are adaptable features,0.677433
Global shape processing: Which parts form the whole?,Dichoptic difference thresholds for uniform color changes applied to natural scenes,0.531085
