title_i,title_j,cosine_similarity
Iron Kα lines from X-ray photoionized accretion discs,Fe emission and ionized excess absorption in the luminous quasar 3C 109 with XMM-Newton,0.728441
Iron Kα lines from X-ray photoionized accretion discs,"Erratum: Tests of models for parton fragmentation by means of three-jet events in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mo>+</mml:mo></mml:mrow></mml:msup></mml:mrow></mml:math><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mi mathvariant=""normal"">−</mml:mi></mml:mrow></mml:msup></mml:mrow></mml:math>annihilation at √<i>s</i>¯=29 GeV [Phys. Rev. Lett. 54, 270 (1985)]",0.062852
Iron Kα lines from X-ray photoionized accretion discs,X-ray reflection in the NLS1 1H 0707-495,0.622724
Iron Kα lines from X-ray photoionized accretion discs,X-ray reflection in Galactic Black Hole Candidates: smeared edge profiles and resonant Auger destruction,0.759555
Iron Kα lines from X-ray photoionized accretion discs,X-ray line emission from photo-ionized gas in a Seyfert nucleus,0.649049
Iron Kα lines from X-ray photoionized accretion discs,Models of the hard X-ray spectrum of AM Herculis and implications for the accretion rate,0.73201
Iron Kα lines from X-ray photoionized accretion discs,The effect of photoelectric absorption on the Comptonized X-ray spectrum of an accreting white dwarf,0.635728
Iron Kα lines from X-ray photoionized accretion discs,Optically thick X-ray transfer - The shell game,0.525594
Iron Kα lines from X-ray photoionized accretion discs,Noise environment in the NLR transonic windtunnel HST,0.106412
Iron Kα lines from X-ray photoionized accretion discs,A comprehensive range of X-ray ionized reflection models,0.645991
Iron Kα lines from X-ray photoionized accretion discs,"Stratigraphic notes, 1983",0.118412
Iron Kα lines from X-ray photoionized accretion discs,X-ray spectra including reflection off matter within the innermost stable orbit,0.800302
Iron Kα lines from X-ray photoionized accretion discs,Ionized Iron Lines in X-ray Reflection Spectra,0.75998
Iron Kα lines from X-ray photoionized accretion discs,An explanation for the soft X-ray excess in AGN (Conference proceedings version),0.659625
Iron Kα lines from X-ray photoionized accretion discs,Experimental study of p.bar.n annihilations between 1.0 and 1.6 GeV/c,0.275789
Iron Kα lines from X-ray photoionized accretion discs,Comptonization of X-Rays by Low Temperature Electrons,0.466676
Iron Kα lines from X-ray photoionized accretion discs,Optically-Thick X-Ray Transfer: The Shell Game.,0.525594
X-ray reflection by photoionized accretion discs,The spectra of accretion discs in active galactic nuclei,0.755402
X-ray reflection by photoionized accretion discs,The Comptonization of iron X-ray features in compact X-ray sources,0.599757
X-ray reflection by photoionized accretion discs,"Iron K fluorescent lines from relativistic, ionized discs",0.717042
X-ray reflection by photoionized accretion discs,Soft X-ray emission lines from photoionized accretion discs: constraints on their strength and width,0.811869
X-ray reflection by photoionized accretion discs,Spectral formation in compact X-ray sources,0.691337
X-ray reflection by photoionized accretion discs,X-ray photoionized accretion discs: UV and X-ray continuum spectra and polarization,0.758596
X-ray reflection by photoionized accretion discs,Fe Kα emission from photoionized slabs: the impact of the iron abundance,0.717003
X-ray reflection by photoionized accretion discs,A complete relativistic ionized accretion disc in Cygnus X-1,0.744758
X-ray reflection by photoionized accretion discs,Time-dependent X-ray spectra of Compton-cooled plasmas,0.666372
X-ray reflection by photoionized accretion discs,The spectra of accretion discs in low-mass X-ray binaries,0.717378
X-ray reflection by photoionized accretion discs,Saturation and beaming in astrophysical masers,0.388558
X-ray reflection by photoionized accretion discs,Applications of linear pulsation theory to the Cepheid mass problem and the double-mode Cepheids,0.478738
X-ray reflection by photoionized accretion discs,"Finite, two-component isothermal spheres. I - Equilibrium models",0.321893
X-ray reflection by photoionized accretion discs,The evidence against Comptonization as a mechanism to explain the Fe Kα line profile in MCG-6-30-15,0.714562
X-ray reflection by photoionized accretion discs,Fe emission and ionized excess absorption in the luminous quasar 3C 109 with XMM-Newton,0.735973
X-ray reflection by photoionized accretion discs,"Erratum: Tests of models for parton fragmentation by means of three-jet events in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mo>+</mml:mo></mml:mrow></mml:msup></mml:mrow></mml:math><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mi mathvariant=""normal"">−</mml:mi></mml:mrow></mml:msup></mml:mrow></mml:math>annihilation at √<i>s</i>¯=29 GeV [Phys. Rev. Lett. 54, 270 (1985)]",0.07209
