title_i,title_j,cosine_similarity
Narain CFTs and quantum codes at higher genus,"Nucleon-antinucleon annihilation at large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:msub><mml:mi>N</mml:mi><mml:mi>c</mml:mi></mml:msub></mml:math>",0.281252
Narain CFTs and quantum codes at higher genus,"Is It Possible To Embed A 4D, N = 4 Supersymmetric Vector Multiplet",0.059601
Narain CFTs and quantum codes at higher genus,"Holography, Supergravity, and the Weak Gravity Conjecture",0.40876
Narain CFTs and quantum codes at higher genus,Repulsive black holes and higher-derivatives,0.261712
Narain CFTs and quantum codes at higher genus,Analytic bootstrap of mixed correlators in the $\boldsymbol{O(n)}$ CFT,0.516828
Narain CFTs and quantum codes at higher genus,Adding subtractions: Comparing the impact of different Regge behaviors,0.337929
Narain CFTs and quantum codes at higher genus,Bootstrapping supersymmetric (matrix) quantum mechanics,0.351024
Narain CFTs and quantum codes at higher genus,Holographic duality from Howe duality: Chern-Simons gravity as an ensemble of code CFTs,0.645412
Narain CFTs and quantum codes at higher genus,Quantum bootstrap for central potentials,0.361262
Narain CFTs and quantum codes at higher genus,Report on 2310.06888v1,0.366244
Classical codes and chiral CFTs at higher genus,Positivity bounds on massive vectors,0.274007
Classical codes and chiral CFTs at higher genus,NUT charge weak gravity conjecture from dimensional reduction,0.288089
Classical codes and chiral CFTs at higher genus,Higher-derivative corrections to black hole entropy at zero temperature,0.316753
Classical codes and chiral CFTs at higher genus,Analytic bootstrap of mixed correlators in the O(n) CFT,0.474388
Classical codes and chiral CFTs at higher genus,Averaging over codes and an SU(2) modular bootstrap,0.683459
Classical codes and chiral CFTs at higher genus,Electric shocks: bounding Einstein-Maxwell theory with time delays on boosted RN backgrounds,0.139572
Classical codes and chiral CFTs at higher genus,Causality bounds from charged shockwaves in 5d,0.236721
Classical codes and chiral CFTs at higher genus,"Is it possible to embed a 4D, $ \mathcal{N} $ = 4 supersymmetric vector multiplet within a completely off-shell adinkra hologram?",0.363701
Classical codes and chiral CFTs at higher genus,Interplay of the sign problem and the infinite volume limit: Gauge theories with a theta term,0.367136
Classical codes and chiral CFTs at higher genus,Bounding violations of the weak gravity conjecture,0.305512
Classical codes and chiral CFTs at higher genus,The Entropy Shift and Extremality Shift at Zero Temperature,0.31257
Classical codes and chiral CFTs at higher genus,The Weyl Anomaly from the 6D Superconformal Index,0.469903
Classical codes and chiral CFTs at higher genus,Averaging over codes and an $SU(2)$ modular bootstrap,0.681257
Classical codes and chiral CFTs at higher genus,Bootstrapping time-evolution in quantum mechanics,0.105644
Classical codes and chiral CFTs at higher genus,"Nucleon-antinucleon annihilation at large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:msub><mml:mi>N</mml:mi><mml:mi>c</mml:mi></mml:msub></mml:math>",0.209183
Classical codes and chiral CFTs at higher genus,"Is It Possible To Embed A 4D, N = 4 Supersymmetric Vector Multiplet",0.00974
Classical codes and chiral CFTs at higher genus,"Holography, Supergravity, and the Weak Gravity Conjecture",0.39376
Classical codes and chiral CFTs at higher genus,Repulsive black holes and higher-derivatives,0.218585
Classical codes and chiral CFTs at higher genus,Analytic bootstrap of mixed correlators in the $\boldsymbol{O(n)}$ CFT,0.463561
Classical codes and chiral CFTs at higher genus,Adding subtractions: Comparing the impact of different Regge behaviors,0.244414
Classical codes and chiral CFTs at higher genus,Bootstrapping supersymmetric (matrix) quantum mechanics,0.252378
Classical codes and chiral CFTs at higher genus,Holographic duality from Howe duality: Chern-Simons gravity as an ensemble of code CFTs,0.589023
Classical codes and chiral CFTs at higher genus,Quantum bootstrap for central potentials,0.287723
Classical codes and chiral CFTs at higher genus,Report on 2310.06888v1,0.285644
Positivity bounds on massive vectors,NUT charge weak gravity conjecture from dimensional reduction,0.404342
Positivity bounds on massive vectors,Higher-derivative corrections to black hole entropy at zero temperature,0.438417
Positivity bounds on massive vectors,Analytic bootstrap of mixed correlators in the O(n) CFT,0.430653
Positivity bounds on massive vectors,Averaging over codes and an SU(2) modular bootstrap,0.377729
Positivity bounds on massive vectors,Electric shocks: bounding Einstein-Maxwell theory with time delays on boosted RN backgrounds,0.499831
Positivity bounds on massive vectors,Causality bounds from charged shockwaves in 5d,0.578095
Positivity bounds on massive vectors,"Is it possible to embed a 4D, $ \mathcal{N} $ = 4 supersymmetric vector multiplet within a completely off-shell adinkra hologram?",0.333379
Positivity bounds on massive vectors,Interplay of the sign problem and the infinite volume limit: Gauge theories with a theta term,0.514678
Positivity bounds on massive vectors,Bounding violations of the weak gravity conjecture,0.596512
Positivity bounds on massive vectors,The Entropy Shift and Extremality Shift at Zero Temperature,0.402113
Positivity bounds on massive vectors,The Weyl Anomaly from the 6D Superconformal Index,0.309198
Positivity bounds on massive vectors,Averaging over codes and an $SU(2)$ modular bootstrap,0.367729
Positivity bounds on massive vectors,Bootstrapping time-evolution in quantum mechanics,0.343738
