title_i,title_j,cosine_similarity
Finite-Temperature Field Theory,Comparison of nuclear transport models with 800<i>A</i>-MeV La + La data,0.400592
Finite-Temperature Field Theory,"Transient field fluctuations effects in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>d</mml:mi><mml:mo>+</mml:mo><mml:mi fontstyle=""normal"">Au</mml:mi></mml:mrow></mml:math>and Au+Au collisions at<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msqrt><mml:mrow><mml:msub><mml:mi>s</mml:mi><mml:mrow><mml:mi mathvariant=""italic"">NN</mml:mi></mml:mrow></mml:msub></mml:mrow></mml:msqrt><mml:mo>=</mml:mo><mml:mn>200</mml:mn></mml:mrow></mml:math>GeV",0.618436
Finite-Temperature Field Theory,Dileptons from a quark-gluon plasma with finite baryon density,0.555879
Finite-Temperature Field Theory,Charged particle fluctuations and microscopic models of nuclear collisions,0.538352
Finite-Temperature Field Theory,Strong color field baryonic remnants in nucleus-nucleus collisions at 200<i>A</i>GeV,0.575505
Finite-Temperature Field Theory,Dilepton bremsstrahlung from pion-pion scattering in a relativistic one boson exchange model,0.543347
Finite-Temperature Field Theory,"Hadronic interactions of the<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mrow><mml:mi>J</mml:mi><mml:mo>∕</mml:mo><mml:mi>ψ</mml:mi></mml:mrow></mml:mrow></mml:math>and Adler’s theorem",0.515449
Finite-Temperature Field Theory,"Dissociation of the<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>J</mml:mi><mml:mo>/</mml:mo><mml:mi>ψ</mml:mi></mml:mrow></mml:math>by light mesons, and chiral symmetry",0.433357
Finite-Temperature Field Theory,"Properties of the<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>ϕ</mml:mi></mml:mrow></mml:math>meson at high temperatures and densities",0.499611
Finite-Temperature Field Theory,"Photon radiation from heavy-ion collisions in the <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.gif"" overflow=""scroll""><mml:msqrt><mml:mrow><mml:msub><mml:mrow><mml:mi>s</mml:mi></mml:mrow><mml:mrow><mml:mi>N</mml:mi><mml:mi>N</mml:mi></mml:mrow></mml:msub></mml:mrow></mml:msqrt><mml:mo>=</mml:mo><mml:mn>19</mml:mn><mml:mo>−</mml:mo><mml:mn>200</mml:mn><mml:mspace width=""0.25em""/><mml:mtext>GeV</mml:mtext></mml:math> regime",0.523916
Finite-Temperature Field Theory,Microscopic model for nuclear breakup in heavy ion collisions,0.494502
Finite-Temperature Field Theory,Phenomenological constraints on the bulk viscosity of QCD,0.539832
Finite-Temperature Field Theory,Astrophysics and cosmology,0.003901
Finite-Temperature Field Theory,A holographic model for large N thermal QCD,0.573087
Finite-Temperature Field Theory,Open Charm Production in p + p and Pb + Pb collisions at the CERN Large Hadron Collider,0.51613
Finite-Temperature Field Theory,Neutrino emission in neutron matter from magnetic moment interactions,0.574608
Finite-Temperature Field Theory,Rho Properties in a hot gas: dynamics of meson resonances,0.538485
Finite-Temperature Field Theory,"Renormalization group flow, stability, and bulk viscosity in a large <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> thermal QCD model",0.45675
Finite-Temperature Field Theory,Event-plane decorrelation of photons produced in the early stage of heavy-ion collisions,0.54984
